Product ID,SKU,Matrix ID,Product Code,Name,Description,Description HTML,Stock Type,Stock Level,Price (RRP),Trade Price,Categories,Brand,Product Range,Material,Size,Height,Length,Width,Weight,Colour,Image,Created At,Updated At,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10
34,BASALVAWHITEL/XL,1539,basalvawht,Bassaya Alva White WhiteL/XL,"Fabulously raunchy two piece set. Open bra and string in translucent tulle, finished with ribbon bows. Available in white (red and black versions also available). All products come packaged in their own branded boxes.","<p>Fabulously raunchy two piece set. Open bra and string in translucent tulle, finished with ribbon bows. Available in white (red and black versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,amber,11.99,5.62,Bassaya,Bassaya,Bassaya Alva White,90% Polyester/10% Elastane,L/XL,4.2,21,15,0.09,White,https://www.alterego-lingerie.com/media/catalog/product/b/a/basalva_white.jpg,2016-02-12 11:00:55,2017-09-15 16:55:04,https://www.alterego-lingerie.com/media/catalog/product/b/a/basalva_white.jpg,,,,,,,,,
36,BASAMAYABLACKL/XL,1541,basamayblk,Bassaya Amaya Black BlackL/XL,"Erotic and raunchy two piece set. Halter neck open bra and string in translucent tulle, finished with bows. Available in black (red and white versions also available). All products come packaged in their own branded boxes.","<p>Erotic and raunchy two piece set. Halter neck open bra and string in translucent tulle, finished with bows. Available in black (red and white versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,amber,12.99,6.08,Bassaya,Bassaya,Bassaya Amaya Black,90% Polyester/10% Elastane,L/XL,4.2,21,15,0.08,Black,https://www.alterego-lingerie.com/media/catalog/product/b/a/basamaya_black.jpg,2016-02-12 11:00:55,2017-09-15 16:55:04,https://www.alterego-lingerie.com/media/catalog/product/b/a/basamaya_black.jpg,,,,,,,,,
38,BASAMAYAWHITEL/XL,1545,basamaywht,Bassaya Amaya White WhiteL/XL,"Erotic and raunchy two piece set. Halter neck open bra and string in translucent tulle, finished with bows. Available in white (red and black versions also available). All products come packaged in their own branded boxes.","<p>Erotic and raunchy two piece set. Halter neck open bra and string in translucent tulle, finished with bows. Available in white (red and black versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,green,12.99,6.08,Bassaya,Bassaya,Bassaya Amaya White,90% Polyester/10% Elastane,L/XL,4.2,21,15,0.08,White,https://www.alterego-lingerie.com/media/catalog/product/b/a/basamaya_white.jpg,2016-02-12 11:00:55,2017-09-15 16:56:02,https://www.alterego-lingerie.com/media/catalog/product/b/a/basamaya_white.jpg,,,,,,,,,
40,BASCAMILABLACKL/XL,1547,bascamiblk,Bassaya Camila Black BlackL/XL,Sensual and revealing see through 'ripped' tulle mini dress with matching string. Available in black (red and white versions also available). All products come packaged in their own branded boxes.,<p>Sensual and revealing see through 'ripped' tulle mini dress with matching string. Available in black (red and white versions also available). All products come packaged in their own branded boxes.</p>,Discontinued,amber,16.99,7.73,Bassaya,Bassaya,Bassaya Camila Black,90% Polyester/10% Elastane,L/XL,4.2,21,15,0.11,Black,https://www.alterego-lingerie.com/media/catalog/product/b/a/bascamila_black.jpg,2016-02-12 11:00:55,2017-09-15 16:55:04,https://www.alterego-lingerie.com/media/catalog/product/b/a/bascamila_black.jpg,,,,,,,,,
41,BASCAMILABLACKS/M,1548,bascamiblk,Bassaya Camila Black BlackS/M,Sensual and revealing see through 'ripped' tulle mini dress with matching string. Available in black (red and white versions also available). All products come packaged in their own branded boxes.,<p>Sensual and revealing see through 'ripped' tulle mini dress with matching string. Available in black (red and white versions also available). All products come packaged in their own branded boxes.</p>,Discontinued,green,16.99,7.73,Bassaya,Bassaya,Bassaya Camila Black,90% Polyester/10% Elastane,S/M,4.2,21,15,0.11,Black,https://www.alterego-lingerie.com/media/catalog/product/b/a/bascamila_black.jpg,2016-02-12 11:00:55,2017-09-15 16:55:16,https://www.alterego-lingerie.com/media/catalog/product/b/a/bascamila_black.jpg,,,,,,,,,
